  1000.  4.95805664E+15
  1100.  5.00189097E+15
  1200.  5.11574807E+15
  1300.  5.28146713E+15
  1400.  5.48781269E+15
  1500.  5.7274901E+15
  1600.  5.99557152E+15
  1700.  6.28861558E+15
  1800.  6.60415039E+15
  1900.  6.94035697E+15
  2000.  7.29586843E+15
  2100.  7.66963863E+15
  2200.  8.06085385E+15
  2300.  8.46887198E+15
  2400.  8.89317978E+15
  2500.  9.33336227E+15
  2600.  9.78908038E+15
  2700.  1.02600544E+16
  2800.  1.07460517E+16
  2900.  1.12468772E+16
  3000.  1.17623659E+16
  3100.  1.22923777E+16
  3200.  1.28367927E+16
  3300.  1.33955077E+16
  3400.  1.39684332E+16
  3500.  1.45554918E+16
  3600.  1.51566155E+16
  3700.  1.57717448E+16
  3800.  1.64008273E+16
  3900.  1.70438166E+16
  4000.  1.77006716E+16
  4100.  1.83713555E+16
  4200.  1.90558356E+16
  4300.  1.97540826E+16
  4400.  2.046607E+16
  4500.  2.11917742E+16
  4600.  2.19311735E+16
  4700.  2.26842486E+16
  4800.  2.34509818E+16
  4900.  2.42313569E+16
  5000.  2.50253593E+16
  5100.  2.58329756E+16
  5200.  2.66541935E+16
  5300.  2.74890018E+16
  5400.  2.833739E+16
  5500.  2.91993488E+16
